,id,name,games,goals_scored,goals_conceded,xG_for,xG_against,shots_for,shots_against,shots_on_target_for,shots_on_target_against,yellow_cards,red_cards,fouls
0,84,Real Madrid,33,2.1515151515151514,0.6666666666666666,1.7703030303030303,1.0884848484848486,12.969696969696969,8.181818181818182,7.424242424242424,3.878787878787879,1.9090909090909092,0.12121212121212122,10.242424242424242
0,83,FC Barcelona,33,2.0606060606060606,1.1818181818181819,1.7275757575757575,1.1800000000000002,12.818181818181818,9.121212121212121,7.181818181818182,4.636363636363637,2.272727272727273,0.06060606060606061,11.090909090909092
0,312,Girona FC,33,2.090909090909091,1.2121212121212122,1.4424242424242424,1.39,10.696969696969697,10.848484848484848,5.848484848484849,5.333333333333333,2.090909090909091,0.030303030303030304,11.333333333333334
0,117,Atlético Madrid,33,1.878787878787879,1.1818181818181819,1.506060606060606,1.346969696969697,11.0,10.212121212121213,6.575757575757576,4.848484848484849,2.272727272727273,0.12121212121212122,11.303030303030303
0,285,Athletic Club Bilbao,33,1.606060606060606,1.0,1.4578787878787878,1.1269696969696972,10.575757575757576,8.424242424242424,5.666666666666667,4.484848484848484,2.212121212121212,0.09090909090909091,13.575757575757576
0,290,Real Sociedad,33,1.393939393939394,1.0606060606060606,1.385757575757576,1.0996969696969696,10.484848484848484,8.212121212121213,5.151515151515151,4.454545454545454,2.606060606060606,0.06060606060606061,16.060606060606062
0,284,Real Betis,33,1.2424242424242424,1.1818181818181819,1.3090909090909089,1.3175757575757574,9.969696969696969,9.969696969696969,4.818181818181818,5.0606060606060606,2.393939393939394,0.09090909090909091,11.090909090909092
0,288,Valencia CF,33,1.121212121212121,1.1515151515151516,1.1315151515151516,1.3272727272727274,8.393939393939394,9.0,4.484848484848484,5.363636363636363,1.696969696969697,0.15151515151515152,12.151515151515152
0,76,Villarreal,33,1.6363636363636365,1.6666666666666667,1.3109090909090908,1.6690909090909092,9.696969696969697,12.818181818181818,5.454545454545454,6.787878787878788,2.8484848484848486,0.18181818181818182,12.545454545454545
0,293,Getafe CF,33,1.2424242424242424,1.3636363636363635,1.2699999999999998,1.3924242424242426,9.606060606060606,10.636363636363637,5.0,5.818181818181818,3.606060606060606,0.2727272727272727,16.424242424242426
0,287,CA Osasuna,33,1.121212121212121,1.4848484848484849,1.2466666666666664,1.255151515151515,9.212121212121213,9.363636363636363,4.212121212121212,5.03030303030303,1.9696969696969697,0.12121212121212122,13.454545454545455
0,98,Sevilla FC,33,1.2727272727272727,1.393939393939394,1.4757575757575758,1.3927272727272728,11.575757575757576,10.636363636363637,5.303030303030303,5.636363636363637,2.787878787878788,0.12121212121212122,12.0
0,277,Deportivo Alavés,33,0.9393939393939394,1.1515151515151516,1.2781818181818179,1.3381818181818181,10.0,9.757575757575758,4.606060606060606,4.818181818181818,2.1515151515151514,0.030303030303030304,12.515151515151516
0,276,UD Las Palmas,33,0.9090909090909091,1.2424242424242424,1.154242424242424,1.34030303030303,8.545454545454545,10.393939393939394,4.2727272727272725,5.333333333333333,2.212121212121212,0.15151515151515152,10.545454545454545
0,291,Rayo Vallecano,33,0.8181818181818182,1.2727272727272727,1.3303030303030303,1.3575757575757577,10.242424242424242,10.393939393939394,5.151515151515151,5.181818181818182,2.787878787878788,0.12121212121212122,14.727272727272727
0,298,RCD Mallorca,33,0.8181818181818182,1.1818181818181819,1.1942424242424243,1.3551515151515152,9.151515151515152,10.333333333333334,4.545454545454546,5.0606060606060606,2.727272727272727,0.12121212121212122,15.121212121212121
0,281,Celta de Vigo,33,1.121212121212121,1.5151515151515151,1.3357575757575757,1.4303030303030304,10.090909090909092,10.636363636363637,5.121212121212121,5.484848484848484,1.696969696969697,0.15151515151515152,11.333333333333334
0,310,Cádiz,33,0.696969696969697,1.393939393939394,1.1448484848484848,1.4736363636363634,8.757575757575758,10.93939393939394,4.121212121212121,5.484848484848484,2.8484848484848486,0.18181818181818182,14.878787878787879
0,282,Granada CF,33,1.0909090909090908,1.8484848484848484,1.1827272727272728,1.5166666666666668,9.06060606060606,11.212121212121213,4.696969696969697,6.212121212121212,2.5454545454545454,0.09090909090909091,13.0
0,296,Almería,33,0.9696969696969697,2.0303030303030303,1.331212121212121,1.5872727272727274,10.818181818181818,12.575757575757576,5.333333333333333,6.0606060606060606,2.4242424242424243,0.18181818181818182,12.727272727272727
0,-1,#LEAGUE_AVERAGE#,660,1.309090909090909,1.309090909090909,1.3492727272727272,1.3492727272727274,10.183333333333334,10.183333333333334,5.248484848484848,5.248484848484848,2.403030303030303,0.12272727272727273,12.806060606060607
