,id,name,games,goals_scored,goals_conceded,xG_for,xG_against,shots_for,shots_against,shots_on_target_for,shots_on_target_against,yellow_cards,red_cards,fouls
0,249,Chesterfield,43,2.372093023255814,1.3953488372093024,1.7495348837209304,1.1969767441860466,11.674418604651162,8.30232558139535,6.5813953488372094,4.511627906976744,1.8837209302325582,0.06976744186046512,8.651162790697674
0,269,Barnet,44,1.9318181818181819,1.3409090909090908,1.7188636363636363,1.4013636363636366,12.681818181818182,10.295454545454545,6.25,5.454545454545454,1.8863636363636365,0.0,9.886363636363637
0,1835,Bromley,43,1.5348837209302326,1.069767441860465,1.4927906976744185,1.5397674418604652,10.395348837209303,11.348837209302326,5.209302325581396,5.046511627906977,1.9069767441860466,0.16279069767441862,8.976744186046512
0,1834,Solihull Moors,44,1.5909090909090908,1.3409090909090908,1.3988636363636362,1.6118181818181818,10.431818181818182,12.159090909090908,5.159090909090909,5.454545454545454,1.7045454545454546,0.045454545454545456,8.909090909090908
0,1847,Altrincham,44,1.8409090909090908,1.3409090909090908,1.5431818181818187,1.5947727272727272,11.181818181818182,11.636363636363637,5.863636363636363,5.25,1.75,0.09090909090909091,8.0
0,1832,Gateshead,42,1.9761904761904763,1.4047619047619047,1.7261904761904763,1.333095238095238,13.714285714285714,10.0,6.523809523809524,5.142857142857143,1.880952380952381,0.09523809523809523,8.357142857142858
0,1823,Halifax Town,42,1.2619047619047619,1.0952380952380953,1.4976190476190476,1.4440476190476192,11.285714285714286,9.880952380952381,4.833333333333333,4.904761904761905,1.8095238095238095,0.07142857142857142,11.880952380952381
0,1836,Aldershot Town,43,1.627906976744186,1.7906976744186047,1.5923255813953487,1.6018604651162793,12.116279069767442,11.674418604651162,5.488372093023256,6.0,2.302325581395349,0.20930232558139536,10.813953488372093
0,232,Southend United,44,1.5227272727272727,0.9772727272727273,1.6647727272727273,1.2347727272727274,11.75,8.840909090909092,5.681818181818182,4.2272727272727275,1.6363636363636365,0.06818181818181818,8.272727272727273
0,246,Oldham Athletic,43,1.372093023255814,1.2790697674418605,1.3667441860465115,1.4530232558139533,9.883720930232558,10.046511627906977,4.604651162790698,5.093023255813954,2.2790697674418605,0.11627906976744186,9.744186046511627
0,235,Rochdale,43,1.5348837209302326,1.441860465116279,1.3411627906976742,1.4016279069767443,9.325581395348838,9.55813953488372,4.465116279069767,4.906976744186046,1.7209302325581395,0.06976744186046512,8.023255813953488
0,262,Hartlepool United,44,1.4772727272727273,1.7727272727272727,1.5018181818181817,1.6593181818181817,11.363636363636363,12.295454545454545,5.045454545454546,5.954545454545454,2.0454545454545454,0.022727272727272728,9.454545454545455
0,1831,Fylde,44,1.6818181818181819,1.75,1.6961363636363636,1.5206818181818185,12.818181818181818,11.295454545454545,6.340909090909091,5.0,1.8636363636363635,0.1590909090909091,10.295454545454545
0,1828,Maidenhead United,44,1.2727272727272727,1.4318181818181819,1.5881818181818181,1.5645454545454547,11.022727272727273,10.5,5.25,4.795454545454546,2.25,0.06818181818181818,10.022727272727273
0,274,Dagenham & Redbridge,44,1.4772727272727273,1.3409090909090908,1.4709090909090905,1.3797727272727274,10.727272727272727,10.272727272727273,5.318181818181818,4.386363636363637,1.8409090909090908,0.045454545454545456,11.454545454545455
0,1830,Eastleigh,43,1.6511627906976745,1.9534883720930232,1.3127906976744186,1.7797674418604652,9.744186046511627,13.86046511627907,5.116279069767442,6.441860465116279,2.3255813953488373,0.06976744186046512,9.86046511627907
0,1826,Woking,44,1.0454545454545454,1.2045454545454546,1.5824999999999998,1.3547727272727275,11.204545454545455,9.295454545454545,4.909090909090909,4.75,2.3636363636363638,0.06818181818181818,12.022727272727273
0,1825,Ebbsfleet United,43,1.372093023255814,1.6744186046511629,1.4418604651162792,1.654186046511628,10.744186046511627,12.953488372093023,5.3023255813953485,6.1395348837209305,2.0930232558139537,0.09302325581395349,10.348837209302326
0,3144,Wealdstone,43,1.302325581395349,1.6046511627906976,1.6123255813953485,1.6411627906976742,12.953488372093023,12.44186046511628,6.232558139534884,6.27906976744186,1.9534883720930232,0.13953488372093023,8.325581395348838
0,275,York City,44,1.2045454545454546,1.5454545454545454,1.3699999999999999,1.5572727272727276,10.181818181818182,11.590909090909092,4.886363636363637,5.613636363636363,1.75,0.13636363636363635,10.75
0,1840,Boreham Wood,43,1.302325581395349,1.697674418604651,1.5000000000000002,1.5497674418604652,10.69767441860465,11.651162790697674,5.093023255813954,5.6976744186046515,2.13953488372093,0.16279069767441862,11.534883720930232
0,1846,Kidderminster Harriers,44,0.8863636363636364,1.2272727272727273,1.5277272727272726,1.300681818181818,11.25,8.727272727272727,5.0227272727272725,4.568181818181818,1.9090909090909092,0.09090909090909091,10.613636363636363
0,3203,Dorking Wanderers,44,1.1363636363636365,1.8181818181818181,1.3963636363636365,1.747272727272727,9.931818181818182,12.931818181818182,4.545454545454546,6.4772727272727275,2.2045454545454546,0.09090909090909091,9.454545454545455
0,3139,Oxford City,43,1.2325581395348837,2.0930232558139537,1.2934883720930233,1.8658139534883724,8.534883720930232,14.046511627906977,4.488372093023256,6.1395348837209305,2.0,0.023255813953488372,9.511627906976743
0,-1,#LEAGUE_AVERAGE#,1042,1.482725527831094,1.482725527831094,1.5161612284069097,1.51616122840691,11.066218809980807,11.066218809980807,5.341650671785029,5.341650671785029,1.978886756238004,0.09021113243761997,9.799424184261037
