,id,name,games,goals_scored,goals_conceded,xG_for,xG_against,shots_for,shots_against,shots_on_target_for,shots_on_target_against,yellow_cards,red_cards,fouls
0,59,Arsenal,34,2.411764705882353,0.7647058823529411,1.82,0.9023529411764706,12.617647058823529,6.794117647058823,7.029411764705882,3.264705882352941,1.588235294117647,0.058823529411764705,10.117647058823529
0,93,Manchester City,33,2.4242424242424243,0.9696969696969697,2.025454545454545,0.9384848484848485,13.848484848484848,6.909090909090909,8.151515151515152,4.03030303030303,1.4848484848484849,0.06060606060606061,8.242424242424242
0,151,Liverpool,34,2.2058823529411766,1.0,2.001764705882353,1.2044117647058825,15.441176470588236,9.029411764705882,7.9411764705882355,4.764705882352941,1.8235294117647058,0.14705882352941177,12.029411764705882
0,158,Aston Villa,34,2.088235294117647,1.4705882352941178,1.5076470588235293,1.33,11.176470588235293,9.823529411764707,6.294117647058823,5.5588235294117645,2.5,0.058823529411764705,11.088235294117647
0,92,Tottenham Hotspur,32,2.03125,1.53125,1.7165625000000002,1.380625,12.0625,10.3125,6.71875,5.46875,2.40625,0.125,10.9375
0,149,Manchester United,33,1.5454545454545454,1.5151515151515151,1.5084848484848485,1.7163636363636363,11.030303030303031,13.303030303030303,6.151515151515151,6.424242424242424,2.242424242424242,0.030303030303030304,10.606060606060606
0,157,Newcastle United,33,2.090909090909091,1.6363636363636365,1.510909090909091,1.517878787878788,11.181818181818182,11.151515151515152,6.242424242424242,6.333333333333333,2.0,0.030303030303030304,10.484848484848484
0,153,West Ham United,34,1.588235294117647,1.8529411764705883,1.285588235294118,1.79,9.794117647058824,13.176470588235293,4.9411764705882355,7.235294117647059,2.176470588235294,0.08823529411764706,10.470588235294118
0,152,Chelsea,32,1.90625,1.78125,1.5634375,1.498125,11.34375,10.90625,6.46875,6.25,2.9375,0.09375,11.84375
0,148,AFC Bournemouth,34,1.4411764705882353,1.7647058823529411,1.5014705882352943,1.5150000000000001,11.176470588235293,11.0,6.029411764705882,6.235294117647059,2.0294117647058822,0.08823529411764706,13.323529411764707
0,209,Brighton & Hove Albion,33,1.5757575757575757,1.6363636363636365,1.6175757575757574,1.331818181818182,11.757575757575758,9.969696969696969,6.757575757575758,5.515151515151516,2.393939393939394,0.09090909090909091,10.333333333333334
0,223,Wolverhampton Wanderers,34,1.3529411764705883,1.588235294117647,1.2920588235294117,1.5811764705882354,9.676470588235293,11.323529411764707,5.235294117647059,6.235294117647059,2.6470588235294117,0.08823529411764706,12.558823529411764
0,162,Fulham,34,1.4705882352941178,1.588235294117647,1.470294117647059,1.552941176470588,11.088235294117647,11.882352941176471,5.882352941176471,6.176470588235294,2.176470588235294,0.08823529411764706,9.764705882352942
0,143,Crystal Palace,34,1.2941176470588236,1.6470588235294117,1.2705882352941176,1.421764705882353,9.264705882352942,10.058823529411764,5.235294117647059,5.205882352941177,1.8823529411764706,0.029411764705882353,11.970588235294118
0,218,Brentford,34,1.5294117647058822,1.7352941176470589,1.4052941176470588,1.6373529411764707,10.676470588235293,11.676470588235293,5.5588235294117645,6.088235294117647,2.3529411764705883,0.058823529411764705,10.205882352941176
0,144,Everton,34,1.0588235294117647,1.411764705882353,1.4555882352941174,1.444705882352941,11.264705882352942,10.411764705882353,5.411764705882353,5.588235294117647,2.1470588235294117,0.029411764705882353,12.323529411764707
0,211,Nottingham Forest,34,1.2352941176470589,1.7647058823529411,1.2555882352941177,1.4991176470588237,9.470588235294118,10.117647058823529,4.911764705882353,5.5588235294117645,2.264705882352941,0.08823529411764706,11.823529411764707
0,271,Luton Town,34,1.3823529411764706,2.2058823529411766,1.220294117647059,1.7970588235294118,8.705882352941176,13.794117647058824,4.617647058823529,7.176470588235294,1.7941176470588236,0.0,11.264705882352942
0,145,Burnley,34,1.088235294117647,2.0294117647058822,1.2379411764705883,1.663235294117647,9.235294117647058,12.323529411764707,4.705882352941177,7.264705882352941,1.8529411764705883,0.20588235294117646,11.294117647058824
0,251,Sheffield United,34,0.9705882352941176,2.7058823529411766,1.0597058823529413,1.9461764705882354,7.823529411764706,14.352941176470589,4.5,8.176470588235293,2.735294117647059,0.11764705882352941,11.176470588235293
0,-1,#LEAGUE_AVERAGE#,672,1.630952380952381,1.630952380952381,1.4843303571428572,1.4843303571428572,10.921130952380953,10.921130952380953,5.930059523809524,5.930059523809524,2.169642857142857,0.07886904761904762,11.098214285714286
